제조사,모델명,세부트림,1회충전주행거리,복합전비,가격,급속,완속
기아,EV9,라이트 스탠다드 (6인승) (A/T),374,4.2,6244,DC콤보(7pin),AC 단상(5pin)
기아,EV9,라이트 롱레인지 (7인승) (A/T),501,4.2,6642,DC콤보(7pin),AC 단상(5pin)
기아,EV9,라이트 롱레인지 (6인승) (A/T),501,4.2,6689,DC콤보(7pin),AC 단상(5pin)
기아,EV9,에어 스탠다드 (7인승) (A/T),374,4.2,6412,DC콤보(7pin),AC 단상(5pin)
기아,EV9,에어 스탠다드 (6인승) (A/T),374,4.2,6459,DC콤보(7pin),AC 단상(5pin)
기아,EV9,에어 롱레인지 (7인승) (A/T),501,4.2,6857,DC콤보(7pin),AC 단상(5pin)
기아,EV9,에어 롱레인지 (6인승) (A/T),501,4.2,6904,DC콤보(7pin),AC 단상(5pin)
기아,EV9,어스 스탠다드 (7인승) (A/T),374,4.2,6891,DC콤보(7pin),AC 단상(5pin)
기아,EV9,어스 스탠다드 (6인승) (A/T),374,4.2,6937,DC콤보(7pin),AC 단상(5pin)
기아,EV9,어스 롱레인지 (7인승) (A/T),501,4.2,7336,DC콤보(7pin),AC 단상(5pin)
기아,EV9,어스 롱레인지 (6인승) (A/T),501,4.2,7383,DC콤보(7pin),AC 단상(5pin)
현대,코나 일렉트릭,모던 플러스 (A/T),417,5.5,4566,DC콤보(7pin),AC 단상(5pin)
현대,코나 일렉트릭,프리미엄 (A/T),417,5.5,4657,DC콤보(7pin),AC 단상(5pin)
현대,코나 일렉트릭,인스퍼레이션 (A/T),368,4.8,4992,DC콤보(7pin),AC 단상(5pin)
현대,코나 일렉트릭,블랙 익스테리어 (A/T),368,4.8,5025,DC콤보(7pin),AC 단상(5pin)
현대,코나 일렉트릭,N 라인 (A/T),364,4.7,5086,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 6 N,AWD (A/T),387,4.2,7990,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 5 N,AWD 에센셜 (A/T),351,3.7,7769,DC콤보(7pin),AC 단상(5pin)
현대,아이오닉 5 N,AWD (A/T),351,3.7,8029,DC콤보(7pin),AC 단상(5pin)
